cluster_id,accident_count,center_latitude,center_longitude,deaths,injuries,avg_severity,predominant_hour,predominant_day,predominant_cause,radius_km,density_score,risk_category,heat_intensity
321,23,-14.301463762173912,-39.319631604347826,1,33,12.195652173913043,1,0,Ingestão de álcool pelo condutor,9.279541290665254,0.26403432385134795,baixo,0.15462681004778758
322,24,-6.8271194,-35.1349961875,2,29,13.675925925925926,16,6,Ausência de reação do condutor,8.704464293760543,0.3126314898682138,baixo,0.1830868399747351
323,15,-27.234385865333333,-51.950952272,1,15,10.3,18,1,Acessar a via sem observar a presença dos outros veículos,7.728430206596319,0.2470004534239537,baixo,0.14465123941539432
324,16,-13.772079798125,-39.490427608750004,2,24,12.989583333333332,0,3,Acessar a via sem observar a presença dos outros veículos,6.500826216614821,0.36985034111142,baixo,0.21659600012209934
325,17,-13.41527670235294,-49.131754441764706,0,16,4.470588235294118,6,0,Reação tardia ou ineficiente do condutor,8.518786620628651,0.23107331021397787,baixo,0.1353238030737489
326,17,-9.364197687058823,-37.25418485588235,3,17,16.27450980392157,21,2,Acessar a via sem observar a presença dos outros veículos,7.208677102155533,0.32096652119489105,baixo,0.18796809664959865
327,30,-8.837085476,-48.51127700866667,2,28,8.927777777777777,19,2,Acessar a via sem observar a presença dos outros veículos,7.288926160629725,0.5542372450471937,baixo,0.32457877430955084
328,11,-19.74359190272727,-48.97128545636363,2,13,11.772727272727273,0,0,Ausência de reação do condutor,5.599675687694032,0.3399639930382022,baixo,0.19909361407193837
329,10,-20.321079427999997,-42.331446809,3,16,11.283333333333335,2,0,Ausência de reação do condutor,3.930302585218448,0.6080033273519632,baixo,0.35606588429693986
330,16,-12.118454200625,-45.005718554375,1,22,9.28125,21,0,Reação tardia ou ineficiente do condutor,5.553976338224525,0.5024075816325958,baixo,0.29422569216951117
331,10,-7.7755603010000005,-40.245259732,3,12,29.733333333333338,18,6,Ausência de reação do condutor,4.224281463672188,0.5306572955445948,medio,0.3107696137447769
332,13,-12.368590827692307,-38.38756141230769,0,40,6.930880713489409,18,4,Ausência de reação do condutor,6.719014205024101,0.2817197358401897,baixo,0.1649839439246509
333,16,-20.215962069375,-42.652590018125,0,16,7.15625,4,0,Ausência de reação do condutor,8.814926087328953,0.2032961370256681,baixo,0.11905661621863596
334,14,-8.673820197857143,-35.587183547857144,0,15,8.571428571428571,13,5,Acessar a via sem observar a presença dos outros veículos,5.759221806903338,0.40973248312565513,baixo,0.23995223770356613
335,31,-10.824797458709677,-38.539371883225805,1,47,14.516129032258064,18,5,Ingestão de álcool pelo condutor,10.22467348541741,0.2937165097732367,baixo,0.1720096323164976
336,25,-15.842466620800002,-48.7793353896,8,32,16.474285714285713,20,4,Acessar a via sem observar a presença dos outros veículos,10.82069128993132,0.21170767135190938,baixo,0.1239826754578371
